ped. #,time (s),x (cm),y (cm)
1,5.872592,128.885,-59.1205
1,5.905959,132.732,-57.8382
1,5.939326,137.007,-57.8382
1,5.972693,142.136,-57.8382
1,6.00606,145.556,-57.8382
1,6.039427,150.686,-57.8382
1,6.072794,154.105,-57.8382
1,6.106161,160.004,-56.3848
1,6.139528,164.022,-55.9574
1,6.172895,168.639,-56.1283
1,6.206262,172.913,-56.1283
1,6.239629,178.043,-56.1283
1,6.272996,183.002,-55.7864
1,6.306363,186.592,-54.4185
1,6.33973,191.722,-54.4185
1,6.373097,196.851,-54.4185
1,6.406464,201.981,-54.4185
1,6.439831,207.11,-54.4185
1,6.473198,210.53,-56.1283
1,6.506565,215.659,-56.1283
1,6.539932,219.934,-56.1283
1,6.573299,224.892,-55.6154
1,6.606666,229.766,-57.4107
1,6.640033,234.468,-57.8382
1,6.6734,239.084,-58.0092
1,6.706767,243.017,-59.548
1,6.740134,248.146,-59.548
1,6.773501,254.558,-60.8304
1,6.806868,258.405,-61.2578
1,6.840235,263.535,-61.2578
1,6.873602,268.664,-61.2578
1,6.906969,272.939,-61.2578
1,6.940336,277.213,-61.2578
1,6.973703,282.343,-61.2578
1,7.00707,286.618,-61.2578
1,7.040437,290.892,-61.2578
1,7.073804,295.167,-61.2578
1,7.107171,300.296,-61.2578
1,7.140538,304.571,-61.2578
1,7.173905,309.7,-61.2578
1,7.207272,314.83,-61.2578
1,7.240639,319.959,-60.4029
1,7.274006,325.089,-59.548
1,7.307373,329.363,-59.548
1,7.34074,334.493,-59.548
1,7.374107,339.622,-59.548
1,7.407474,343.897,-61.2578
1,7.440841,349.027,-61.2578
1,7.474208,352.446,-61.2578
1,7.507575,357.576,-62.9677
1,7.540942,360.995,-62.9677
1,7.574309,366.467,-63.1387
1,7.607676,370.4,-64.6775
1,7.641043,375.529,-65.5324
1,7.67441,379.804,-66.3873
1,7.707777,385.275,-66.5583
1,7.741144,389.208,-68.0972
1,7.774511,394.337,-68.0972
1,7.807878,399.467,-68.9521
1,7.841245,404.596,-68.9521
1,7.874612,409.555,-68.4391
1,7.907979,414.513,-68.2682
1,7.941346,419.472,-67.9262
1,7.974713,424.43,-67.5842
1,8.00808,427.252,-67.6697
1,8.041447,432.381,-66.8148
1,8.074814,436.656,-65.9599
1,8.108181,440.298,-65.806
1,8.141548,444.35,-65.105
1,8.174915,453.327,-65.5324
1,8.208282,455.036,-63.8226
1,8.241649,458.456,-63.8226
1,8.275016,463.41,-62.3894
1,8.308383,467.245,-58.6589
1,8.34175,470.22,-58.9666
1,8.375117,474.101,-58.7786
1,8.408484,480.513,-58.1801
1,8.441851,485.813,-57.8382
1,8.475218,491.272,-57.7724
1,8.508585,496.244,-57.4962
1,8.541952,500.598,-57.6873
1,8.575319,505.728,-57.6873
1,8.608686,510.455,-57.5867
1,8.642053,515.585,-57.5867
1,8.67542,520.865,-58.6931
1,8.708787,525.24,-58.2907
1,8.742154,530.953,-59.035
1,8.775521,536.083,-59.035
1,8.808888,541.524,-59.2817
1,8.842255,546.764,-59.3975
1,8.875622,551.707,-59.394
1,8.908989,556.411,-59.2317
1,8.942356,560.992,-59.1317
2,8.975723,-598.875,-76.4956
2,9.00909,-593.133,-76.788
2,9.042457,-587.09,-77.1756
2,9.075824,-581.124,-77.5013
2,9.109191,-574.627,-78.1852
2,9.142558,-568.892,-78.8165
2,9.175925,-562.658,-78.5272
2,9.209292,-557.528,-78.5272
2,9.242659,-551.202,-79.2111
2,9.276026,-546.072,-79.2111
2,9.309393,-541.37,-77.9287
2,9.34276,-535.813,-77.5013
2,9.376127,-530.684,-77.5013
2,9.409494,-525.554,-77.5013
2,9.442861,-521.451,-76.9883
2,9.476228,-516.578,-75.364
2,9.509595,-510.337,-75.4494
2,9.542962,-505.036,-75.7914
2,9.576329,-499.907,-75.7914
2,9.609696,-493.922,-75.7914
2,9.643063,-487.938,-75.7914
2,9.67643,-484.518,-74.9365
2,9.709797,-480.082,-73.4183
2,9.743164,-472.55,-74.0816
2,9.776531,-467.42,-74.0816
2,9.809898,-463.145,-74.0816
2,9.843265,-458.871,-74.0816
2,9.876632,-453.741,-74.0816
2,9.909999,-449.894,-73.6541
2,9.943366,-445.192,-74.0816
2,9.976733,-439.208,-75.7914
2,10.0101,-434.933,-75.7914
2,10.043467,-429.804,-75.7914
2,10.076834,-424.674,-75.7914
2,10.110201,-419.545,-77.5013
2,10.143568,-414.415,-77.5013
2,10.176935,-409.286,-77.5013
2,10.210302,-405.438,-77.0738
2,10.243669,-400.309,-77.0738
2,10.277036,-395.265,-77.3303
2,10.310403,-391.76,-77.0738
2,10.34377,-385.348,-77.5013
2,10.377137,-381.928,-77.5013
2,10.410504,-377.654,-75.7914
2,10.443871,-372.866,-76.4754
2,10.477238,-368.421,-76.1334
2,10.510605,-363.12,-76.6464
2,10.543972,-357.991,-75.7914
2,10.577339,-352.861,-75.7914
2,10.610706,-349.014,-73.6541
2,10.644073,-342.602,-74.0816
2,10.67744,-338.327,-74.0816
2,10.710807,-334.053,-72.3718
2,10.744174,-328.923,-72.3718
2,10.777541,-322.939,-72.3718
2,10.810908,-318.664,-72.3718
2,10.844275,-313.535,-72.3718
2,10.877642,-308.833,-71.0894
2,10.911009,-303.276,-72.3718
2,10.944376,-298.146,-72.3718
